"","brand","model","processor_brand","processor_name","processor_gnrtn","processor_gnrtn_isBAD","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","display_size_isBAD","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews","latest_price_cat"
"741","HP","Ryzen","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",790.161290322581,60959,19,4.4,45,5,"mid"
"742","acer","Swift","AMD","Ryzen 5",10.3318112633181,1,8,"LPDDR4X",512,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","No",870.806451612903,89999,40,4.9,7,0,"mid"
"743","Lenovo","IdeaPad","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","Yes",854.677419354839,78290,32,4.2,39,5,"mid"
"745","Lenovo","Ideapad","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",4,"Gaming",15.6,0,0,"No","No",959.516129032258,89490,33,4.5,92,10,"mid"
"746","MSI","Bravo","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",4,"Casual",15.6,0,0,"No","No",1048.22580645161,83990,22,4.5,469,80,"mid"
"747","DELL","Vostro","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",765.967741935484,61740,23,2.5,2,1,"mid"
"748","HP","HP","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",4,"Casual",15.6,0,1,"No","No",967.58064516129,76020,21,4.4,1978,188,"mid"
"749","Lenovo","Legion","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",4,"Casual",15.6,0,0,"No","No",1128.87096774194,107690,35,4.3,9,0,"mid"
"750","HP","15-ec1105AX","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",4,"Casual",15.6,0,1,"No","No",951.451612903226,70172,15,4.5,1049,134,"mid"
"751","DELL","Vostro","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","No",959.516129032258,61060,2,4.6,74,18,"mid"
"752","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",1088.70967741935,75049,10,4.4,196,19,"mid"
"753","HP","Ryzen","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","32-bit",0,"Casual",15.6,0,0,"No","No",790.161290322581,60959,19,4.6,17,1,"mid"
"754","ASUS","VivoBook","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,0,1,"Yes","Yes",1007.25806451613,74990,16,4.4,172,36,"mid"
"755","ASUS","VivoBook","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,0,1,"No","No",951.451612903226,73990,20,4.4,324,34,"mid"
"756","ASUS","APU","AMD","Quad",10,0,4,"DDR4",0,512,"DOS","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",322.41935483871,23390,14,4,2887,476,"low"
"757","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",935.467741935484,70419,17,4.5,86,15,"mid"
"758","ASUS","VivoBook","AMD","Ryzen 5",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,0,0,"No","No",919.193548387097,80990,29,4.8,4,1,"mid"
"759","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",4,"Casual",15.6,0,1,"No","Yes",1177.25806451613,87717,16,4.7,16,4,"mid"
"760","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",0,"Casual",13.3,0,1,"No","Yes",1064.35483870968,89992,26,4.4,104,18,"mid"
"762","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",2,"Casual",14,0,1,"No","Yes",1032.09677419355,74839,14,4.2,90,13,"mid"
"763","ASUS","Ryzen","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","32-bit",0,"ThinNlight",15.6,0,1,"No","Yes",804.677419354839,69990,28,4.7,6,1,"mid"
"764","DELL","Inspiron","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","Yes",806.290322580645,66161,24,4.4,47,7,"mid"
"766","HP","Envy","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"Casual",13.3,0,1,"Yes","Yes",1193.53225806452,88840,16,4.6,206,27,"mid"
"767","DELL","Inspiron","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",983.709677419355,67861,10,4.4,183,42,"mid"
"768","DELL","G5","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",6,"Casual",15.1220212765957,1,0,"No","No",1228.87096774194,80996,5,4.4,358,64,"mid"
"770","ASUS","VivoBook","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",951.451612903226,73990,20,4.3,88,13,"mid"
"773","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",888.548387096774,67931,18,4.4,364,52,"mid"
"776","acer","Aspire","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",725.645161290323,56990,21,4.4,313,39,"mid"
"777","HP","15s","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",862.741935483871,59990,10,4.4,826,118,"mid"
